Name,Date,Allison,Brain Train,Cardio,Chores,Energy,Entertainment,Family,Friends,Hap,Happiness,Learning,Lifting,Motivation,Prod,Productivity,Projects,Reading,Sleep,Work,Yoga
,03/19/2022,16,2,1,4,,2,0,0,,,0,0,,,,0,0.5,7,0,0
,03/18/2022,4,0,0,2,,1.5,1.5,0,,7,0,0.5,,,8,0,1,7.5,10.5,0
,03/17/2022,2.5,0,0,0,,0,0,0,,8,0,0,,,8,1.5,0,7.5,10.25,0
,03/16/2022,0.5,0,0,2.5,,0.5,0.5,0,,8,0,0.5,,,8,0,0,7.6,8.75,0.1
,03/15/2022,0,0,0.5,0.5,,0.5,1,0,,7,2,0,,,8,0,2,8,9,0.2
,03/14/2022,0.75,0,0,0,,1,0,0,,7,3,0.6,,,7,0.5,0,7.3,9,0
,03/13/2022,4,0,0.3,1,,0,0,2.5,,8,0,0.5,,,8,7,0,8,0,0
,03/12/2022,24,0,0,2,,0,0,0,,4,0,0,,,,0.5,0,8.75,0,0
,03/11/2022,0,0,0,2,,0,0,0,,7,0,0,,,8,0,0,7,9.5,0
,03/10/2022,0,0,0,0,,0,0,2,,5,3,0.75,,,7,1,0,9,9,0
,03/09/2022,0,0,0,0,,1,0,0,,5,1,0.5,,,8,0,0,8.5,10,0
,03/08/2022,0,0.75,0,0,,0,0,2.25,,7,1,0.5,,,9,2.25,0,8,8.75,0
,03/07/2022,0,0,0,0,,0,0,1.5,,8,0.5,0,,,9,1.5,1,8.5,10,0.25
,03/06/2022,0,0,0.3,0.5,,1.5,8,0,,9,2,0,,,7,1,0.5,6.5,0,0.25
,03/05/2022,5,1,0,5,,0,0,0,,7,0,0,,,7,0,0,8.75,0,0
,03/02/2022,0,0,0,0,,3,0,2.5,,9,0,0.5,,,9,2.5,0.5,9,7,0
,03/04/2022,5,0,0,0,,3,0,0,,8,0,0.5,,,9,0,0,8.75,9.5,0
,03/03/2022,0,0,0,0,,2.5,0,0,,6,0,0.75,,,5,0,0,7.5,8,0
,02/28/2022,0,0,0,0.5,,0,0,0,,9,0,0.5,,,10,0,0,7.1,10.5,0
,03/01/2022,0,0,0,2.5,,3,2.5,0,,10,1,0,,,7,0,0,8,6,0
,02/27/2022,9,3.5,0,1,,2.5,0,0,,,0,0,,,,5.5,0,8.25,0,0
,02/26/2022,12,4,0,2,,4,0,0,,8,0,0,,,4,0,0,7,0,0
,02/25/2022,5.5,0,0,2,,2,0,0,,8,0.5,0,,,4,1.5,0,8.3,9,0
,02/24/2022,0,0,0,0,,0,0,2.5,,8,0,0.5,,,4,2.5,0,8,9,0
,02/23/2022,1,0,0,1,,1.5,0,0,,7,0,0.4,,,8,0,0.5,7.9,9,0.25
,02/22/2022,2.5,0,0,0,,0,0,0,,7,0,0.75,,,9,0,0,8,10.5,0.25
,02/21/2022,11,1,0,2,,5.5,0,0.5,,6,0,0,,,5,4,0,7.5,0,0.25
,02/20/2022,2.5,1.5,0.5,2,,2,0,0,,8,2.5,0.5,,,7,1,2.5,7,0,0
,02/19/2022,15,0,0,2,,3,4,0,,8,0,0.75,,,5,0,0.5,8.5,0,0
,02/18/2022,7,0,0,0,,4.25,0,0,,8,0,0,,,7,0,0,8,8,0.25
,02/17/2022,0,0,0,0,,0,0,0,,9,0,0.5,,,9,0,1,7.5,10.75,0.25
,02/16/2022,0,0,0.5,0,,1,0.5,0,,7,1,0,,,8,0,1.5,6.5,10.5,0.25
,02/15/2022,0,0,0,0,,0.5,0.5,0,,9,0,0.5,,,9,0,0,7.5,13,0.25
,02/14/2022,0.25,0,0.5,0,,0.5,0,0,,8,0.25,0.5,,,8.5,0,0.75,8.1,10,0.25
,02/13/2022,2.5,0,0.5,1.5,,0.5,0,5,,9,0,0,,,8,5,0.75,8.5,2.5,0
,02/12/2022,9.5,0,0,0.5,,3,0,0,,9,2,0,,,,0,0,9,0,
,02/11/2022,6,0,0,0,,3,0,1,,9,0,0,,,8,1,0,8,8,
,02/10/2022,0,0,0.5,0,,0,0,0,,7,1,0,,,8,0,0,8,10.5,
,02/09/2022,0.75,0,0,0,,1,0,0,,7,1,0,,,8,0,0.5,7.75,11,
,02/08/2022,0,0,0,0,,0.5,0,0,,8.5,0,0.5,,,9,4,0,7.8,8.5,
,02/07/2022,0,0,0,1.5,,0.5,0.75,0,,7,0,0.6,,,7,0,0.5,8.25,10.6,
,02/06/2022,1.5,0,0,1,,1,0.25,5,,8,1,0,,,7,5,0,8,2,
,02/05/2022,11,0,0,,,3.5,0,0,,9,0,0.5,,,,0,0,8.5,0,
,02/04/2022,5,0,0,0,,0,0,0,,9,0,0,,,8,0,0.5,8.5,9,
,02/02/2022,0,0,0,0.7,,0,0.5,0,,7,1,0.6,,,8,0,0.5,7.5,9.5,
,02/03/2022,0.5,0,0,0.5,,0,0,0,,8.5,1.5,0.5,,,9,0,2,8.5,9,
,02/01/2022,1,0,0,0.5,,0,0.5,1,,5,0,0.5,,,8,2,1,8.5,7,
,01/31/2022,6,0,0,1.5,,0,0,0,,5,0,0.5,,,6,0,0,6.5,8,
,01/30/2022,2,0,0,1.5,,0.5,0,5,,9,0.5,0.5,,,9,6,0,8.5,0.5,
,01/29/2022,16,0,0,4,,1.5,0,0,,10,0,0,,,5,0,0.5,8.5,0,
,01/28/2022,5,0,0,0,,2,1,0,,9,0,0.5,,,9,0,0,8,9,
,01/27/2022,0,0,0,1,,0,0,0,,8.5,2,0.5,,,8,0,0,8,9.5,
,01/26/2022,0.5,0,0,0.5,,1.5,0,0,,8.5,1,0.3,,,8,0,0.5,6.5,10,
,01/25/2022,0,0,0,0,,0.5,0,1.5,,8,0,0.5,,,8,0,0,8,11,
,01/24/2022,0,0,0,1.5,,0,0,0,,4,2.5,0.5,,,7,0,5,7,1.5,
,01/23/2022,3,0,0.3,0.5,,0,0.5,4,,9,2,0.5,,,8,4,0.5,8,0,
,01/22/2022,10,3,0,1,,0,0,0,,8,0,0.5,,,5,1.5,0,6.5,0,
,01/21/2022,5,0,0,1,,2,1.5,0,,3,0,0,,,5,,0,7.25,9.25,
,01/20/2022,1,0,0,2,,0,1,0,,7,0,0,,,7,,0,7.5,9.25,
,01/19/2022,0,0,0,0.5,,0,0.5,0,,8,0,0.5,,,7,,1,8,11,
,01/18/2022,0,0,0.5,0,,0,0,2,,6,0,0,,,6,,0.75,7.5,9,
,01/17/2022,3,0.5,0,0,,0.5,0,0,,7,6.5,0.5,,,6,,1.5,7.5,0,
,01/16/2022,2,1.5,0,1,,0,0,0,,8,5,0.5,,,7,,0,6.5,0,
,01/15/2022,7,1.5,0,2.5,,1,0,3.5,,7,1.5,0,,,4,,0,8,0,
,01/14/2022,2.5,2,0,0,,0,0,0.75,,9,0,0.5,,,8,,0.25,8,8.75,
,01/13/2022,1.5,0,0.5,2,,0,0,0,,8,2,0,,,8,,0.5,8,8.5,
,01/12/2022,6,1,0,0,,0.5,0,1,,7,0,0,,,6,,0,8,9.5,
,01/11/2022,0,0,0.3,0,,1,0,0,,6,0,0.5,,,8,,0.5,8,10,
,01/10/2022,1,0,0,0,,0,0,0,,4,0,0.5,,,7,,0.5,8,12,
,01/09/2022,2,0,0.5,1.25,,0,0,2.5,,9,8.25,0.5,,,9,,0,8,0,
,01/08/2022,4,2,0.5,2,,1,0,0,,8,5,0.6,,,8,,2,8,0,
,01/07/2022,3,0,0,2,,3,0,0,,7,0,0.6,,,6,,0.25,8,8.5,
,01/06/2022,3,0,0,0,,0,0,0,,7,0,0.5,,,7,,0,8,9,
,01/05/2022,3,3,0,0,,0,0,0,,7,0,0.5,,,5,,0,8,9,
,01/04/2022,1.5,0.5,0,0,,0.5,0.25,2,,8,2,0.5,,,9,,0.5,7.5,9,
,01/03/2022,3,2,0,1,,2,0,0,,5,0,1,,,6,,0,7,7,
,01/02/2022,7,2,0,3,,2,0,4,,8,4.5,0.75,,,5,,0,8,0,
,01/01/2022,7,0,0,1,,5,0,0,,7,3,1,,,3,,0,8,0,